left,right,token_positional_agreement,token_5gram_jaccard,expert_jaccard
0,1,0.005859375,0.0,0.18931070963541669
0,2,0.001953125,0.0,0.17803955078125
0,3,0.001953125,0.0,0.18302408854166669
0,4,0.001953125,0.0,0.18446858723958334
0,5,0.001953125,0.0,0.17451985677083334
0,6,0.005859375,0.0,0.18522135416666666
0,7,0.005859375,0.0,0.18119303385416666
0,8,0.0078125,0.0,0.17728678385416666
0,9,0.005859375,0.0,0.18597412109375
0,10,0.001953125,0.0,0.18414306640625
0,11,0.005859375,0.0,0.18180338541666666
0,12,0.0078125,0.0,0.18300374348958331
0,13,0.013671875,0.0,0.18009440104166666
0,14,0.001953125,0.0,0.18556722005208331
0,15,0.005859375,0.0,0.18717447916666666
0,16,0.001953125,0.0,0.17557779947916666
0,17,0.005859375,0.0,0.18155924479166669
0,18,0.001953125,0.0,0.18375651041666666
0,19,0.001953125,0.0,0.18961588541666666
0,20,0.001953125,0.0,0.18697102864583331
0,21,0.009765625,0.0,0.18912760416666666
0,22,0.005859375,0.0,0.19187418619791666
0,23,0.005859375,0.0,0.18599446614583331
0,24,0.009765625,0.0,0.18876139322916669
0,25,0.00390625,0.0,0.18385823567708334
0,26,0.005859375,0.0,0.18699137369791666
0,27,0.0078125,0.0,0.18318684895833331
0,28,0.00390625,0.0,0.1806640625
0,29,0.0,0.0,0.1861572265625
0,30,0.0078125,0.0,0.18265787760416669
0,31,0.015625,0.0,0.18947347005208331
0,32,0.0078125,0.0,0.177978515625
0,33,0.01171875,0.0,0.18817138671875
0,34,0.00390625,0.0,0.1776123046875
0,35,0.01171875,0.0,0.19093831380208331
0,36,0.01171875,0.0,0.18715413411458331
0,37,0.00390625,0.0,0.18416341145833331
0,38,0.00390625,0.0,0.186767578125
0,39,0.01953125,0.0,0.18703206380208331
0,40,0.005859375,0.0,0.18833414713541666
0,41,0.005859375,0.0,0.18861897786458331
0,42,0.017578125,0.0,0.18754069010416663
0,43,0.005859375,0.0,0.18253580729166666
0,44,0.00390625,0.0,0.1842041015625
0,45,0.00390625,0.0,0.18471272786458331
0,46,0.00390625,0.0,0.18308512369791666
0,47,0.009765625,0.0,0.18605550130208331
1,2,0.001953125,0.008869179600886918,0.187744140625
1,3,0.005859375,0.0,0.17923990885416669
1,4,0.009765625,0.0,0.17950439453125
1,5,0.00390625,0.0,0.17901611328124997
1,6,0.005859375,0.0,0.173828125
1,7,0.009765625,0.0,0.17649332682291666
1,8,0.005859375,0.0,0.17938232421875
1,9,0.009765625,0.0,0.17989095052083331
1,10,0.0078125,0.0,0.18361409505208334
1,11,0.00390625,0.0,0.18245442708333331
1,12,0.009765625,0.0,0.18210856119791666
1,13,0.01171875,0.0,0.17510986328125
1,14,0.00390625,0.0,0.18131510416666666
1,15,0.00390625,0.0,0.18216959635416669
1,16,0.00390625,0.0,0.17669677734375
1,17,0.001953125,0.0,0.17622884114583331
1,18,0.005859375,0.0,0.18638102213541666
1,19,0.0078125,0.0,0.18658447265625
1,20,0.005859375,0.0,0.18149820963541663
1,21,0.00390625,0.0,0.17557779947916669
1,22,0.0078125,0.0,0.18544514973958331
1,23,0.00390625,0.0,0.1826171875
1,24,0.001953125,0.0,0.17561848958333331
1,25,0.009765625,0.0,0.18133544921875
1,26,0.00390625,0.0,0.1827392578125
1,27,0.013671875,0.0,0.18180338541666666
1,28,0.009765625,0.0,0.18025716145833334
1,29,0.0,0.0,0.18084716796875
1,30,0.009765625,0.0,0.17848714192708331
1,31,0.0078125,0.0,0.1834716796875
1,32,0.01171875,0.0,0.19020589192708331
1,33,0.0078125,0.0,0.17641194661458331
1,34,0.00390625,0.0,0.17795817057291666
1,35,0.009765625,0.0,0.18306477864583331
1,36,0.009765625,0.0,0.18192545572916666
1,37,0.0078125,0.0,0.17905680338541669
1,38,0.00390625,0.0,0.18170166015625
1,39,0.009765625,0.0,0.17751057942708331
1,40,0.005859375,0.0,0.18182373046875
1,41,0.0078125,0.0,0.18707275390625
1,42,0.017578125,0.0,0.18157958984375
1,43,0.0078125,0.0,0.18168131510416666
1,44,0.017578125,0.0,0.19000244140625
1,45,0.005859375,0.0,0.18959554036458331
1,46,0.0078125,0.0,0.18503824869791666
1,47,0.005859375,0.0,0.18137613932291666
2,3,0.00390625,0.0,0.17708333333333331
2,4,0.005859375,0.0,0.1741943359375
2,5,0.001953125,0.0,0.17409261067708331
2,6,0.001953125,0.0,0.18107096354166666
2,7,0.001953125,0.0,0.18475341796874997
2,8,0.00390625,0.0,0.1781005859375
2,9,0.0,0.0,0.18408203125
2,10,0.009765625,0.0,0.18593343098958331
2,11,0.00390625,0.0,0.17795817057291666
2,12,0.0,0.0,0.18361409505208331
2,13,0.0078125,0.0,0.18153889973958331
2,14,0.005859375,0.0,0.17917887369791669
2,15,0.0,0.0,0.18503824869791666
2,16,0.00390625,0.0,0.17624918619791666
2,17,0.005859375,0.0,0.1827392578125
2,18,0.005859375,0.0,0.17985026041666669
2,19,0.001953125,0.0,0.17926025390625
2,20,0.0,0.0,0.18056233723958331
2,21,0.00390625,0.0,0.1744384765625
2,22,0.00390625,0.0,0.18636067708333331
2,23,0.001953125,0.0,0.18605550130208334
2,24,0.00390625,0.0,0.18332926432291666
2,25,0.009765625,0.0,0.17919921875
2,26,0.0078125,0.0,0.18330891927083331
2,27,0.001953125,0.0,0.19403076171875
2,28,0.0,0.0,0.18184407552083331
2,29,0.005859375,0.0,0.18731689453125
2,30,0.001953125,0.0,0.18646240234375
2,31,0.00390625,0.0,0.18813069661458331
2,32,0.001953125,0.0,0.1826171875
2,33,0.001953125,0.0,0.1842041015625
2,34,0.005859375,0.0,0.1796875
2,35,0.0078125,0.0,0.18318684895833334
2,36,0.00390625,0.0,0.18271891276041666
2,37,0.00390625,0.0,0.18400065104166669
2,38,0.013671875,0.0,0.18937174479166669
2,39,0.001953125,0.0,0.17909749348958331
2,40,0.0,0.0,0.1864013671875
2,41,0.001953125,0.0,0.18398030598958331
2,42,0.00390625,0.0,0.18263753255208331
2,43,0.0078125,0.0,0.17488606770833331
2,44,0.0078125,0.0,0.18603515625
2,45,0.0,0.0,0.17547607421875
2,46,0.005859375,0.0,0.18548583984375
2,47,0.00390625,0.0,0.18223063151041666
3,4,0.009765625,0.0,0.19417317708333331
3,5,0.001953125,0.0010183299389002036,0.18719482421875
3,6,0.009765625,0.0,0.18900553385416669
3,7,0.0,0.0,0.193115234375
3,8,0.0078125,0.0,0.18924967447916666
3,9,0.00390625,0.0,0.1827392578125
3,10,0.013671875,0.0,0.19614664713541666
3,11,0.00390625,0.0,0.18939208984375
3,12,0.00390625,0.0,0.19559733072916666
3,13,0.01171875,0.0,0.1964111328125
3,14,0.0078125,0.0,0.18426513671875
3,15,0.0078125,0.0,0.18931070963541666
3,16,0.005859375,0.0,0.19276936848958331
3,17,0.001953125,0.0,0.18422444661458331
3,18,0.0078125,0.0,0.18345133463541666
3,19,0.00390625,0.0,0.18560791015625
3,20,0.0078125,0.0,0.18780517578125
3,21,0.009765625,0.0,0.18894449869791666
3,22,0.0078125,0.0,0.18983968098958331
3,23,0.005859375,0.0,0.18705240885416666
3,24,0.009765625,0.0,0.17844645182291669
3,25,0.0078125,0.0,0.18951416015625
3,26,0.001953125,0.0,0.18625895182291666
3,27,0.005859375,0.0,0.1842041015625
3,28,0.00390625,0.0,0.18878173828125
3,29,0.00390625,0.0,0.17989095052083331
3,30,0.0078125,0.0,0.18155924479166666
3,31,0.009765625,0.0,0.19069417317708331
3,32,0.0078125,0.0,0.17887369791666669
3,33,0.0078125,0.0,0.19146728515625
3,34,0.0078125,0.0,0.19268798828125
3,35,0.0078125,0.0,0.18245442708333331
3,36,0.001953125,0.0,0.18080647786458331
3,37,0.00390625,0.0,0.18353271484375
3,38,0.0078125,0.0,0.19002278645833331
3,39,0.0078125,0.0,0.19602457682291666
3,40,0.009765625,0.0,0.19167073567708331
3,41,0.00390625,0.0,0.18076578776041666
3,42,0.0078125,0.0,0.19508870442708331
3,43,0.0078125,0.0,0.19376627604166669
3,44,0.00390625,0.0,0.18450927734375
3,45,0.0,0.0,0.18011474609375
3,46,0.001953125,0.0,0.18223063151041666
3,47,0.005859375,0.0,0.18996175130208331
4,5,0.001953125,0.0009871668311944718,0.19993082682291666
4,6,0.001953125,0.0009881422924901185,0.19993082682291666
4,7,0.0078125,0.0009881422924901185,0.19464111328125
4,8,0.0078125,0.0,0.18306477864583331
4,9,0.00390625,0.0,0.17683919270833331
4,10,0.0078125,0.0,0.1849365234375
4,11,0.00390625,0.0,0.18115234375
4,12,0.005859375,0.0,0.1915283203125
4,13,0.001953125,0.0,0.19264729817708331
4,14,0.0078125,0.0,0.18660481770833331
4,15,0.005859375,0.0,0.18770345052083331
4,16,0.005859375,0.0,0.1971435546875
4,17,0.0,0.0,0.18336995442708331
4,18,0.01171875,0.0,0.18896484375
4,19,0.001953125,0.0,0.18562825520833331
4,20,0.013671875,0.0,0.19606526692708334
4,21,0.001953125,0.0,0.18434651692708331
4,22,0.001953125,0.0,0.1749267578125
4,23,0.00390625,0.0,0.17274983723958331
4,24,0.00390625,0.0,0.18080647786458331
4,25,0.001953125,0.0,0.18963623046875
4,26,0.001953125,0.0,0.18013509114583331
4,27,0.00390625,0.0,0.18245442708333331
4,28,0.005859375,0.0,0.18931070963541666
4,29,0.009765625,0.0,0.18404134114583331
4,30,0.0,0.0,0.18652343749999997
4,31,0.00390625,0.0,0.18393961588541669
4,32,0.01171875,0.0,0.191162109375
4,33,0.015625,0.0,0.19114176432291666
